loc_index,lon,lat,mask,FIPS,distance_miles
4,-102.635,34.855,1.0,48117,13.537181964959286
5,-102.503,34.861,1.0,48117,6.422120983291723
7,-103.041,34.943,1.0,48117,37.3416155979127
8,-102.908,34.95,1.0,48117,30.15889932916174
9,-102.776,34.957,1.0,48117,23.277228902840445
0,-95.505,33.354,1.0,48119,10.8361016047606
1,-95.633,33.464,1.0,48119,7.201730953020013
0,-97.325,33.255,0.91039515,48121,10.920030588603618
1,-97.065,33.255,0.064753115,48121,5.144079852107599
2,-97.325,33.363,1.0,48121,14.593703614441504
0,-97.554,28.927,0.46314865,48123,20.169699198942457
1,-97.431,28.928,1.0,48123,14.831864726069474
2,-97.431,29.036,1.0,48123,9.831411960215743
3,-97.555,29.143,1.0,48123,16.441714445758556
4,-97.432,29.143,1.0,48123,9.200112585959438
5,-97.185,29.144,1.0,48123,6.809622680960072
6,-97.062,29.144,0.38880116,48123,13.91231172352978
7,-97.309,29.252,0.8543729,48123,10.39475843870919
3,-100.713,33.52,1.0,48125,8.918105116391464
4,-100.583,33.524,1.0,48125,16.16950264834796
6,-100.718,33.628,1.0,48125,13.460134990717675
