loc_index,lon,lat,mask,FIPS,distance_miles
10,-69.034,44.637,0.35174742,23027,14.438212236280403
1,-69.311,44.359,0.3386415,23027,14.585428327416658
4,-69.122,44.431,0.334895,23027,4.433355450888111
41,-67.993,45.538,0.7168271,23029,46.70348942539336
44,-67.554,45.439,0.7093203,23029,26.503185995438322
9,-67.691,44.79,0.70103735,23029,32.99156503613864
8,-67.836,44.823,0.69910127,23029,36.89031727570683
14,-67.789,44.926,0.69197685,23029,31.172807491571238
43,-67.7,45.472,0.651353,23029,32.90809603911362
45,-67.946,45.641,0.6462026,23029,49.60080904145025
42,-67.847,45.505,0.6419915,23029,39.71994878920297
7,-70.848,43.67,0.35428745,23031,24.346731324027207
9,-70.807,43.774,0.33031198,23031,27.693744491465647
5,-70.89,43.566,0.30962262,23031,23.079353942118587
1,-70.685,43.298,0.29475722,23031,16.592218037959373
8,-70.705,43.64,0.29020265,23031,17.454716806988753
2,-70.931,43.462,0.28587273,23031,24.133910864353496
6,-70.746,43.536,0.28232676,23031,15.560043267763081
10,-70.663,43.744,0.26721868,23031,21.86119174588587
0,-70.55,41.689,0.27908307,25001,18.134296165898853
12,-73.257,42.576,0.520123,25003,8.581537687949615
14,-73.22,42.681,0.44269764,25003,15.961658090880947
15,-73.077,42.654,0.3892342,25003,16.813030187771083
9,-73.293,42.471,0.3842066,25003,2.1292083114932807
5,-73.225,42.234,0.36654565,25003,15.135610752926958
11,-73.009,42.417,0.3479312,25003,13.080213509775813
7,-73.188,42.339,0.34000072,25003,8.617908740387794
4,-73.367,42.261,0.31944972,25003,14.246968685249152
2,-72.934,42.627,0.48404565,25011,19.313539117230544
8,-72.754,42.704,0.3984428,25011,12.429436330612141
6,-72.365,42.515,0.36664903,25011,11.345697834716383
7,-72.897,42.731,0.34549135,25011,19.60560123091408
11,-72.327,42.62,0.34380397,25011,11.844676218847692
3,-72.792,42.599,0.3426834,25011,11.969219026783625
10,-72.469,42.648,0.30824342,25011,5.693093642895167
0,-72.829,42.494,0.2950033,25011,15.599275548246844
0,-72.978,42.074,0.39726192,25013,22.722160140442785
1,-72.837,42.047,0.24370432,25013,16.010088373192243
2,-72.941,42.179,0.3296801,25013,21.082492606530057
3,-72.234,42.04,0.2754584,25013,16.550050540193734
4,-72.904,42.284,0.3383973,25013,22.0265620922555
5,-72.196,42.144,0.2087964,25013,17.757054823273997
0,-72.762,42.257,0.28881082,25015,6.571385653867582
1,-72.867,42.389,0.31696868,25015,10.754492694651923
2,-72.725,42.361,0.27718934,25015,3.5105086776981365
3,-72.441,42.306,0.20069817,25015,12.045326085301365
4,-72.299,42.278,0.20256244,25015,19.529600589409984
5,-72.972,42.522,0.40645936,25015,20.330990429551502
6,-72.403,42.41,0.35451546,25015,15.04132678972222
0,-72.261,42.382,0.2839511,25027,24.449316301546776
